Date,Description,Time spent (hrs)
8/27/23,Looking out for internships.,1
8/28/23,Brain storming ideas for a project incase I dont find an internship,1
8/29/23,Brain storming ideas for a project incase I dont find an internship,1
8/30/23,Narrowing down the ideas I had brain storming (Data analysis/ Machine Learning/ Cyber security idea),1
8/31/23,Search kaggle for data sets that I can use for my ideas,1
9/1/23,Zoom meeting with supervisor to discuss potential project ideas,1
9/2/23,Brain storm technologies I may need to use for projects,1
9/3/23,Brief research on the ideas I have brain stormed,1
9/4/23,Studying vocabulary of stroke dataset to have a better understanding of it,1
9/5/23,Create a rough outline of the design document,1
9/6/23,Start with the design document ,1
9/7/23,Creating diagrams for the design document,2
9/8/23,Filling in the plan chart,1
9/9/23,Coming up with use cases,1
9/10/23,Filling in the plan chart part 2,1
9/11/23,Completing finishing touches before submitting design document,1
9/12/23,Start date for implementation phase (Setting up github and doing basic data cleaning),2
9/13/23,Learning pandas library to learn how to create visuals,2
9/14/23,Meeting with supervisor and going over future plans (and implementing some feedback),3
9/15/23,Using the visuals created to draw inferences and change columns as necessary (data cleaning) / Created a basic model,2
9/16/23,Researched metrics of success to determine which one fits my project,2
9/17/23,Explore streamlit and play around with it to know how to use it,2
9/18/23,Implemented part of the prediction page begins,2
9/19/23,Continuation of the prediction page,2
9/20/23,Finishing up the prototype of the prediction page and starting creating a test bench,2
9/21/23,Create pipeline prototype to test which method of model transporting is better,2
9/22/23,Looking into autosklearn and pycaret libraries for stronger models (Playing with different models for results),2
9/23/23,"Learning techniques to deal with imbalanced data (Undersampling vs over sampling / SMOTE / ADASYN, etc)",2
9/24/23,Re organzing and creating more accurate mark downs in the notebook to prevent confusion. Future proof any file I see being useful in the future.,2
9/25/23,Implementing imbalanced learn library to create test benches,2
9/26/23,Meeting with supervisor and going over future plans (and implementing some feedback),3
9/27/23,Testing different pycaret auto train hyper parameters inputs to yield best results,2
9/28/23,Pipeline setup for final pre processing,2
9/29/23,Continuation of the pipeline setup for pycaret ,2
9/30/23,"Testing the sklearn pipeline, will need supervisor help on this.",2
10/1/23,Imblearn pipeline implementation,2
10/2/23,Fixing github vscode issue with desycned code / Imblearn pipeline implementation pt 2,2
10/3/23,Imblearn pipeline vs sklearn pipeline comparision / testing,2
10/4/23,Need to find a solution to fit SMOTE into pipelining process,2
10/5/23,Meeting with supervisor / Researching work arounds to problems found yesterday,3
10/6/23,Imblearn pipeline implementation fix pt 3,2
10/7/23,Implementing fixed pipeline into pycaret learner,2
10/8/23,Fixing pycaret setup error (Not including SMOTE step in pre processing),2
10/9/23,Copied data prep 3 file to create a testing ground and trying to find the root of the problem,2
10/10/23,"Trying to scale first then implement SMOTE, no results so far. I think SMOTE and OHE are interfereing with each other",2
10/11/23,"Meeting with supervisor, discussing the future of the project and debugging",3
